,amp,detune,g2
0,0.04457403475811563,35.5,0.007754841558866302
1,0.05001288958130289,35.5,0.00890421740965948
2,0.05611538506318824,35.5,0.010347025976807395
3,0.06296249761115796,35.5,0.012156834819013789
4,0.07064508424866252,35.5,0.0144248794399769
5,0.0792650882327163,35.5,0.017263858614999773
6,0.0889368917789811,35.5,0.020812283764980583
7,0.09978883384427338,35.5,0.025239300989484036
8,0.11196491310654706,35.5,0.030749775791465005
9,0.1256266987398616,35.5,0.037589227249263085
10,0.1409554743391579,35.5,0.04604789478306025
11,0.15815464344342203,35.5,0.05646279415577101
12,0.17745242857706656,35.5,0.06921606455169274
13,0.19910489962416977,35.5,0.08472726408229025
14,0.2233993717202586,35.5,0.10343666309996725
15,0.25065821774959424,35.5,0.12577628520621
16,0.28124314603748474,35.5,0.1521259251555114
17,0.31556000000000006,35.5,0.18275329250546674
18,0.3540641434395276,35.5,0.21774147474121128
19,0.39726650294576743,35.5,0.2569133427862612
20,0.4457403475811563,35.5,0.29977041100856044
21,0.500128895813029,35.5,0.34547013235687457
22,0.5611538506318826,35.5,0.39286583711833534
23,0.6296249761115797,35.5,0.44062262528912544
24,0.7064508424866255,35.5,0.4873994826723623
25,0.792650882327163,35.5,0.5320594146092982
26,0.8893689177898111,35.5,0.5738493945061284
27,0.9978883384427338,35.5,0.6124940998008711
28,1.1196491310654706,35.5,0.6481748165548538
29,1.2562669873986165,35.5,0.6814058040493185
30,1.4095547433915794,35.5,0.7128553673302992
31,1.58154643443422,35.5,0.7431701339496831
32,1.7745242857706662,35.5,0.772823058514098
33,1.9910489962416975,35.5,0.8019563160370571
34,2.2339937172025865,35.5,0.8304506484244919
35,2.506582177495943,35.5,0.8581787280377238
36,2.812431460374847,35.5,0.8849633290397199
37,3.1556000000000015,35.5,0.9105881104573074
38,3.5406414343952757,35.5,0.9349295690760538
39,3.9726650294576764,35.5,0.9581190983062436
40,4.457403475811564,35.5,0.9813315236607224
41,5.001288958130294,35.5,1.010596599525629
42,5.611538506318826,35.5,1.1794741585473476
43,6.296249761115796,35.5,1.0526319990660185
44,7.064508424866253,35.5,1.0668895834521375
